Spambase-460 58 230
0.315 0 0 0 0 0 0 0 0 0.308068 0 0.200318 0 0 0 0 0 0.249012 0.227723 0 0 0 0 0 0 0 0 0.582949 0 0 0 0 0 0 0 0 0 0 0 0 0.176471 0 0 0 0.063 0.354342 0 0 0 0 0 0 0 0 0.00276577 0.00750751 0.00982573 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.170068 0 0.247036 0.225023 0 0.15625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00476877 0.0405405 0.0129774 0 
0 0 0 0 0 0 0 0 0 0 0 0.160572 0 0 0 0.137415 0 0 0.181818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0588659 0 0 0.000394895 0.00375375 0.004264 0 
0 0 0 0 0.059 0 0 0 0 0 0 0.0937997 0 0 0 0 0 0 0 0 0 0 0 0 0.116385 0.193758 0 0.135945 0 0.205069 0 0 0 0 0.0668203 0 0 0 0 0 0 0 0 0.017407 0 0 0 0 0 0.0330133 0 0 0 0 0.00130631 0.0172673 0.0320727 0 
0 0 0.22409 0 0.08 1 0 0 0 0 0 0.127186 0.29009 0 0 0 0 0 0.362736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.157516 0 0 0.00750751 0.0352853 0.0253986 1 
0.0625 0 0 0 0.025 0.15528 0 0 0 0 0 0.0810811 0 0.045045 0 0 0 0.0494071 0.0459046 0 0.03125 0 0 0 0 0.0325098 0 0 0 0 0 0 0.0341997 0 0 0 0 0 0 0 0.035014 0 0 0 0 0.035014 0 0.233645 0 0.0191993 0 0 0 0.0252308 0.000430931 0.00225225 0.0155729 0 
0 0 0 0 0 0 0 0 0 0 0 0.507154 0 0 0 0 0.207031 0 0 0 0 0 0 0 0 0.137841 0 0 0 0 0 0 0 0 0 0 0 0 0.0954095 0 0 0 0 0 0 0 0 0 0 0.0334816 0 0 0 0 0.00257357 0.00900901 0.0139043 0 
0 0 0 0 0 0 0 0 0 0 0 0 0.52973 0.52973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000900901 0.003003 0.00278087 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0882088 0 0.245 0 0 0 0 0 0 0 0 0 0 0 0.134063 0 0 0 0 0 0 0 0 0 0 0.117647 0 0.137255 0 0 0 0 0 0 0 0 0.0015015 0.00900901 0.00760104 0 
0.17 0 0 0 0 0 0 0 0 0 0 0.108108 0 0 0 0.092517 0 0 0.492349 0 0 0 0 0 0.0442133 0 0.0272 0 0 0 0 0 0 0 0 0.156682 0 0 0 0 0 0 0 0 0.034 0 0 0 0 0.0323109 0 0 0 0 0.00015015 0.0015015 0.00389321 0 
